"Year protection applied","Where filed","Who","Tech field","Patent #","more date info","Title/summary in English","Sources and notes  (see Sources worksheet for details)","Notes","Original language patent title (or closest available info)","Supplementary to","related to aircraft?","date applied for","date granted","Serial no.","Global patent id"
1908,"fr","Damet",,401416,7/22/1908,"Equipment for combined airplane and helicopter","L'Aérophile Oct 1, 1909 p456",,"Appareil d'aviation, aéroplane et hélicoptère combinés",,,,,,
1908,"fr","Spreekmeester",,401459,7/23/1909,"Suspension system for balloons and airships","L'Aérophile Oct 1, 1909 p456",,"Système de suspension de la nacelle au ballon",,,,,,
1908,"fr","Doutre",,"9668/392684",4/6/1908,"Supplementary patent","L'Aérophile Jan 1909 p15",,"1er cert. d'add. Au brevet pris pour aviateur",,,,,,
1908,"fr","Humbert",,"9740/388823",8/31/1908,"Supplementary patent","L'Aérophile Jan 15, 1909 p48",,"1er cert. d'addition au brevet pris pour appareil d'aviation",,,,,,
1908,"fr","Grosclaude",,"9756/382895",8/31/1908,"Supplementary patent for propulsion designed for aerial or underwater navigation","L'Aérophile Jan 15, 1909 p48",,"1er cert. d'addition au brevet pris pour propulseur de locomotion mécanique plus spécialement destiné aux engins de navigation aérienne et sous-marine",,,,,,
1908,"fr","Pichon; Truchelut",,,9/19/1908,"Non-flammable glue for rubber","L'Aérophile Mars 1, 1909 p117",,"Colle au caoutchouc ininflammable",,,,,,
1908,"fr","Senard",,,6/16/1908,"System to reclaim air?","L'Aérophile Mars 1, 1909 p117",,"Système de réclame aérienne",,,,,,
1909,"fr","Spreekmeester",,401460,7/23/1909,"Steering system for airships","L'Aérophile Oct 1, 1909 p456",,"Système de direction pour aérostats",,,,,,
1909,"fr","Voisin, G.; Voisin, C.",,401476,4/5/1909,"Improvements to the valve trains for internal combustion engines (?)","L'Aérophile Oct 1, 1909 p456",,"Perfectionnements apportés aux organes de distribution des moteurs ou machines analogues plus particulièrement applicables a ceux de ces organes qui sont destinés aux moteurs à combustion interne",,,,,,
1909,"fr","Descomps",,401477,4/1/1909,"Solar watch","L'Aérophile Oct 1, 1909 p456",,"Montre solaire",,,,,,
1909,"fr","Siogren",,401485,4/1/1909,"Flying machine","L'Aérophile Oct 1, 1909 p456",,"Machine volante",,,,,,
1909,"fr","Wagner; von Radinger",,401569,3/24/1909,"Construction parts, tubes, plates, in textile materials or agglomerated or compressed materials ?","L'Aérophile Oct 1, 1909 p456",,"Pieces de construction, tubes, plaques, pieces profilées, poutres pieces poulées, etc., en matières textiles ou autres, agglomerées et comprimées",,,,,,
1909,"fr","Poignard",,401581,4/1/1909,"Wheel for propelling and sustaining airships","L'Aérophile Oct 1, 1909 p456",,"Roue propulsive et sustentatrice pour appareils d'aérostation",,,,,,
1909,"fr","Brieussel",,401593,4/2/1909,"Aerial jousting?","L'Aérophile Oct 1, 1909 p456",,"Joules aériennes (joutes?)",,,,,,
1909,"fr","Henon",,401601,4/2/1909,"Tondeur? Or buckle, without twisting","L'Aérophile Oct 1, 1909 p456",,"Tondeur ou ridoir sans torsion",,,,,,
1909,"fr","Villard",,401603,4/2/1909,"Air propeller for changing forward speed","L'Aérophile Oct 1, 1909 p456",,"Hélice aérienne à changement de vitesse d'avancement",,,,,,
1909,"fr","Tabellion",,401617,4/3/1909,"Airplane","L'Aérophile Oct 1, 1909 p456",,"Aéroplane",,,,,,
1909,"fr","Unstated ---",,401629,4/1/1909,"Dirigible airshiop","L'Aérophile Oct 1, 1909 p456",,"Navire aérien dirigeable",,,,,,
1909,"fr","Mun",,401649,4/3/1909,"airplane","L'Aérophile Oct 1, 1909 p456",,"Aéroplane",,,,,,
1909,"fr","Societe D Bocu et Cie",,401655,4/5/1909,"kite","L'Aérophile Oct 1, 1909 p456",,"Cerf-volant",,,,,,
1909,"fr","Ferber",,401681,4/5/1909,"An indicator device for airplanes","L'Aérophile Oct 1, 1909 p456",,"Dispositif indicateur pour aéroplane",,,,,,
1909,"fr","D'Ecquevilley-Montjustin",,401686,4/5/1909,"Improvements to equipment for aerial or aquatic navigation particularly applicable to airplanes","L'Aérophile Oct 1, 1909 p456",,"Perfectionnements apportés aux engins de navigation aérienne ou aquatique et plus particulièrement applicables aux aéroplanes",,,,,,
1909,"fr","Piquerel",,"10729/393581",3/24/1909,"Supplement to patent of Aug 19, 1908 for the system of airfoils which are oblique to one another and equipped with moving parts operating like those of birds","L'Aérophile Oct 1, 1909 p456",,"1er cert. d'add, au brevet pris, le 19 aout 1908, pour système d'aéroplane comportant des plans porteurs obliques les uns par rapport aux autres et munis d'organes mobiles fonctionnant d'une manière analogue à celle des membres des oiseaux pendant le vol",393581,,,,,
1909,"fr","Dudont",,"10732/380581",3/25/1909,"Supplement to patent of Aug 6, 1907 for airplanes or helicopters with two propellers","L'Aérophile Oct 1, 1909 p456",,"1er cert. d'add, au brevet pris, le 6 aout 1907, pour hélicoptère ou aéroplanes à deux hélices",380581,,,,,
,"fr","Lorin, Réné","propulsion",390256,,,"L'Aérophile Oct 1, 1909 p464",,"version of jet engine or reaction engine",,,,,,
,"fr","Storrer",,401488,,"Apparatus for measuring differences in gas pressure","L'Aérophile Oct 1, 1909 p456",,"Appareil pour mesurer les différences de pression des gaz",,,,,,
1909,"fr","Société anonyme des Ateliers et Chantiers de la Loire",,"11020/398822",5/19/1909,"Supplement to patent of 26 Jan 1909 for apparatus for preventing the rise of oil sumps along the stems of pistons and drawers","L'Aérophile Nov 15, 1909 p515",,"1er cert d'add, au brevet pris le 26 janvier 1909, pour appareil destiné à empêcher l'ascension de l'huile des carters le long des liges de pistons et tiroirs",398822,,,,,
1909,"fr","Société dite: Arbetter Felling Machine Company",,404150,6/18/1909,"sewing for sown items?","L'Aérophile Nov 15, 1909 p515",,"couture pour articles cousus",,,,,,
1909,"fr","Société J. Poccard et fils",,404094,6/16/1909,"propeller frame","L'Aérophile Nov 15, 1909 p515",,"Monture d'hélice",,,,,,
1909,"fr","Esnault-Pelterie",,403951,6/11/1909,"method of manufacturing ""resistant"" propellers particularly for propelling airplanes","L'Aérophile Nov 15, 1909 p515",,"Procédé de fabrication des hélices très résistantes et en particulier des hélices propulsives d'aéroplanes",,,,,,
1909,"fr","Plaisant",,403985,6/12/1909,"device for aviation","L'Aérophile Nov 15, 1909 p515",,"Appareil d'aviation",,,,,,
1908,"fr","Ratignier et la Societe H. Pervilhac et Cie",,403993,10/7/1908,"device for aviation","L'Aérophile Nov 15, 1909 p515",,"Appareil d'aviation",,,,,,
1909,"fr","Floriencie",,404023,6/14/1909,"envelope system for airships","L'Aérophile Nov 15, 1909 p515",,"Système d'enveloppe pour aérostats",,,,,,
,,,,,,,,,,,,,,,
1799,"us","McFarland, Moses","unknown; gizmo","X257","1799/10/28","Patent Federal Balloon or
""vertical aerial coaches.""","Short's DB; http://todayinsci.com/Events/Patent/FederalBalloon.htm",,"Patent Federal Balloon or
""vertical aerial coaches.""",,1,,,,
1828,"us","Genêt, Edmond Charles","LTA","? ","1828/06/17","Blanket patent for Aeronaut","Short's DB; (skeptical) contemporary description: http://books.google.com/books?id=IhlAAAAAYAAJ&vq=genet&pg=PA41#v=onepage&q&f=false (a great read); image: http://xplanes.tumblr.com/post/181998867/edmond-charles-genets-aeronaut-a; correct date may be 1825",,"“Memorial on the upward forces of fluids: and their applicability to several arts, sciences, and public improvements : for which a patent has been granted by the government of the United States to the author” (title of 1825 book)",,1,,,,
1842,"us","Pennington, John H.; Baltimore, MD","Airplane"," ?","1842/04/28","Steam kite","Short's DB; image: http://www.loc.gov/pictures/resource/cph.3a06649/; description (1850): http://books.google.com/books?id=sfYOAAAAYAAJ&vq=pennington&pg=PA90#v=snippet&q=pennington&f=false; nb Pennington may have also filed in London",,"Steam-kite, or inclined plane, for navigating the air",,1,,,,
1844,"us","Muzzi, Musio; NYC, NY; b. Bologna, Italy","LTA; navigation","3,799","1844/10/16","Flying machine","Short's DB; PTO 244; http://www.google.com/patents/US3799",,"Manner of directing the course of aerostats or balloons of various forms",,1,,,,"B64B01/00 (20060101)
"
1849,"us","Smith, Henry J.
Princeton, NJ",," ",,"Helicopter","Short's DB",,"Helicopter",,1,,,,
1850,"us","Perry, Alonzo D.; New York, NY","military",,"1850/03/05","Improved winged metallic cartridges","PTO 244","bullet design","Improved winged metallic cartridges",,0,,,,
1850,"us","Bell, Hugh
London, England","LTA; propulsion;  brakes","7,207","1850/03/26","Balloon and its appendages","Short's DB; PTO 244","http://www.google.com/patents/US0007207","Balloon and its appendages",,1,,,,"A01H05/00 (20060101)
"
1850,"us","Brown, Robert; New London, CT","military","7,572","1850/08/20","Improvement in gun harpoons and lances","PTO 244",,,,0,,,,
1852,"us","Porter, Rufus; NYC, NY; b. West Boxford, MA",," ","1852/08/14","Utility of aerial locomotion","Short's DB; http://en.wikipedia.org/wiki/Rufus_Porter#Airship; http://invention.smithsonian.org/Resources/mind_repository_details.aspx?rep_id=377 and more; although Porter filed over a hundred patents and did design an airship as early as 1835, AND did at","http://en.wikipedia.org/wiki/Rufus_Porter#Airship; http://invention.smithsonian.org/Resources/mind_repository_details.aspx?rep_id=377 and more; although Porter filed over a hundred patents and did design an airship as early as 1835, AND did attempt to ope","Utility of aerial locomotion",,1,,,,
1854,"us","Brewer, John W.
Cincinnati, OH","LTA; mooring","11,248","1854/07/11","Arrangement for mooring &
managing balloons","Short's DB; http://www.google.com/patents/US11248","http://www.google.com/patents/US11248","Arrangement for mooring &
managing balloons",,1,,,,"A01H05/02 (20060101)"
1855,"us","Hoyt Jr., Eben; Chelsea, MA","military","12,795","1855/05/01","Improved projectile for fire-arms","PTO 244",,"Improved projectile for fire-arms",,0,,,,
1856,"us","Smith, Thomas; Pittsburgh, PA","military","14,742","1856/04/22","Improved projectile for fire-arms","PTO 244",,"Improved projectile for fire-arms",,0,"1856/03/28",,,
1856,"us","Goulding, John; Worcester, MA",,"15,291","#N/A","Jacquard Loom","PTO 244","it's a loom","Jacquard Loom",,0,,,,
1856,"us","Scholfield, N.; Norwich, CT","military","15,577","1856/08/19","Improvement in projectiles","PTO 244",,"Improvement in projectiles",,0,,,,
1856,"us","Taggart, William; Haverhill, MA","military","16,076","1856/11/11","Improved projectile for fire-arms","PTO 244",,"Improved projectile for fire-arms",,0,,,,
1856,"us","Lassie, Jean; Finsbury, London; b. Paris",," ",,"Solution for propulsion","Short's DB; information very lacking; I suspect confusion with British patent 2164","Balloon",,,1,,,,
1857,"us","Scholfield, N. and W. W. Wight, assigned to Nathan Scholfield; Norwich CT","military",16819,"#N/A","Improved bomb for killing whales","PTO 244",,"Improved bomb for killing whales",,0,,,,
1857,"us","Sibley, Rufus; Greenville, CT","military",17173,"1857/04/28","Improvement in bomb-lances","PTO 244",,"Improvement in bomb-lances",,0,,,,
1857,"us","Brand, Christopher, C.; Norwich, CT","military",17312,"1857/05/19","Improvement in projectiles","PTO 244",,"Improvement in projectiles",,0,"'1856/09/12",,,
1857,"us","Sibley, Rufus, assigned to Christopher C. Brand; Nowich, CT","military",17407,"1857/05/26","Improved projectile for killing whales","PTO 244",,"Improved projectile for killing whales",,0,"1857/03/07",,,
1857,"us","McConnel, John L; Jacksonville, IL","military",17886,"1857/07/28","Improvement in projectiles for smooth-bored guns","PTO 244",,"Improvement in projectiles for smooth-bored guns",,0,"1857/07/28",,,
1857,"us","Bates, Henry; New London, CT","military",18568,"1857/11/10","Improvement in projectiles","PTO 244",,"Improvement in projectiles",,0,,,,
1857,"us","Scholfield, Nathan; Norwich, CT","military; aerodynamics",18824,"1857/12/08","Cushion for wings of bomb-lances","PTO 244","improvement to side aeroplanes for a disturbingly phallic rocket","Cushion for wings of bomb-lances",,,,,,
1858,"us","Sibley, Rufus; Greenville, CT","military",21219,"1858/08/17","Improvement in bomb-lances","PTO 244",,"Improvement in bomb-lances",,0,,,,
1859,"us","Gage, James P.
New York, NY","LTA; navigation; landing","23,163","1859/03/08","Balloon","Short's DB; PTO 244","Strucutre of balloon itself changes for different purposes","Balloon",,1,,,,
1859,"us","Smith, Horace W.; Hartford, CT",,23198,"1859/03/08","Cock for water-basins","PTO 244",,"Cock for water-basins",,0,,,,
1859,"us","Hyde, J.B.; Newark, NJ","military",23468,"1859/04/05","Improvement in rotating shot and shells","PTO 244",,"Improvement in rotating shot and shells",,0,,,,
1859,"us","Comins, P.B.; San Francisco, CA","military",23827,"1859/05/03","Improvement in bomb-lances","PTO 244",,"Improvement in bomb-lances",,0,,,,
1859,"us","Burroughs, E.; Rochester, NY",,24989,"1859/08/09","Machine for cutting paper","PTO 244",,"Machine for cutting paper",,0,,,,
1859,"us","Goodspeed, Isaac, assigns to self & Geo A. Mansfield; Norwich, CT","military",25080,"1859/08/09","Improvement in bomb-lances","PTO 244",,"Improvement in bomb-lances",,0,,,,
1859,"us","Holroyd, John; Washington, DC","military",25967,"1859/11/01","Improvement in projectiles for fire-arms","PTO 244",,"Improvement in projectiles for fire-arms",,0,,,,
1859,"us","Bright, Henry",," ",,"Counter rotating helicopter","Short's DB; suspect confusion with British patent","suspect confusion with British patent","Counter rotating helicopter",,1,,,,
1860,"us","Swain, Benedict; Washington, DC","military",27245,"1860/02/21","Improvement in projectiles for fire-arms","PTO 244",,"Improvement in projectiles for fire-arms",,0,,,,
1860,"us","Rix, John, and Jno. S. Shaw; Springfield, MO","Propulsion",28905,"1860/06/26","Rotary engine","PTO 244",,"Rotary engine",,,,,,
1860,"us","Abbot, S.C.; Zanesville, OH","military",31099,"1861/01/15","Improvement in projectiles for ordnance","PTO 244",,"Improvement in projectiles for ordnance",,0,,,,
1861,"us","Nelson, Mortimer
New York, NY","LTA; propulsion; navigation; aerodrome; helicopter; parachute","32,378","1861/05/21","Balloon or aerial car","Short's DB; PTO 244","array of fan propellers","Balloon.",,1,"1860/10/01",,,
1861,"us","Ketchum, Wm. F.; Buffalo, NY","military",33089,"1861/08/20","Improvement in hand-grenades","PTO 244",,"Improvement in hand-grenades",,0,,,,
1861,"us","Sherman, Josiah J.; Albany, NY","LTA",33165,"1861/08/27","Improvement in balloons","PTO 244","uses pulleys to regulate gas density for ascent & descent","Improvement in balloons",,1,,,,
1861,"us","Brown, Charles F.; Warren, RI","military",33378,"1861/10/01","Improvement in projectiles for ordnance","PTO 244",,"Improvement in projectiles for ordnance",,0,,,,
1861,"us","Matteson, Elisha; Brooklyn, NY","military",33746,"#N/A","Improvement in projectiles for fire-arms","PTO 244",,"Improvement in projectiles for fire-arms",,0,,,,
1861,"us","Quinby, Watson F.
Stanton, DE","Wings; helicopter; propulsion; aerodrome","33,797","1861/11/26","Apparatus for navigating the air","Short's DB; PTO 244","http://www.google.com/patents/US33797","Improved apparatus for navigating the air",,1,,,,
1861,"us","Woodbury, James A.; Boston, MA","military",33863,"1861/12/03","Improvement in projectiles for smooth-bored ordnance","PTO 244",,"Improvement in projectiles for smooth-bored ordnance",,0,,,,
1861,"us","Mansfield, Wm., Jedediah Morse, and H.H. Mansfield; Canton, MA","military",35103,"1861/04/29","Improvement in projectiles for ordnance, &c","PTO 244",,"Improvement in projectiles for ordnance, &c",,0,,,,
1862,"us","Crowell, Luther C.; West Dennis, MA","helicopter; wings; military",35437,"1862/06/03","Improvement in aerial machines","Short's DB; PTO 244","“When it is desired to employ this aerial machine as an engine of war, it could be elevated, loaded with shell, and when arrived over the desired spot the shell could be discharged.”","Improvement in aerial machines",,1,,,,
1862,"us","Kinsella, Arthur; Cascades, WA","LTA; propulsion",35453,"1862/06/03","Improvement in aerial machines","PTO 244",,"Improvement in aerial machines",,1,,,,
1862,"us","Browne, W.E.; Valley Falls, RI","military",35503,"1862/06/10","Improvement in explosive projectiles for ordnance","PTO 244",,"Improvement in explosive projectiles for ordnance",,0,,,,
1862,"us","Weir, Robert; Philadelphia, PA","military; marine",35795,"1862/07/01","Improvement in projectiles","PTO 244",,"Improvement in projectiles",,0,,,,
1862,"us","Woodbury, Seph P.","military",35965,"1862/07/22","Improvement in sabots for feathered projectiles","PTO 244",,"Improvement in sabots for feathered projectiles",,0,"1862/02/06",,,
1862,"us","Goodrem, Thomas, and Chas. Jackson; Providence, RI","military",36001,"1862/07/29","Improvement in rotating projectiles from smooth bored ordnance","PTO 244",,"Improvement in rotating projectiles from smooth bored ordnance",,0,,,,
1862,"us","Callender, Mills L., C.H. Welling, Elbert Perce; New York, NY","military",36686,"1862/10/14","Improvement in compound explosive projectiles","PTO 244",,"Improvement in compound explosive projectiles",,0,,,,
1862,"us","Kenyon, Henry K.; Steubenville, OH","military",36959,"1862/11/18","Improvement in giving rotation to ordnance projectiles","PTO 244",,"Improvement in giving rotation to ordnance projectiles",,0,,,,
1863,"us","Shaw, Thomas L.
Omaha City, Nebraska Territory","LTA; car","37,667","1863/02/10","Balloons","Short's DB; PTO 244","centers around car detachable from main balloon—an escape pod that could safely land in an emergency","Improvement in balloons",,1,,,,
1863,"us","Perley, Charles. New York, NY.","car; military; unmanned; cargo","37,771","1863/02/24","Discharging explosive shells from balloons","PBS","explosives drop out after timer goes off","Improvement for discharging explosive shells from balloons",,1,,,,
1863,"us","Murphy, J.R.; Pittsburg, PA","car",38324,"1863/04/28","Improvement in Sash-Fastenings","PTO 244","sash for car window","Improvement in Sash-Fastenings",,0,,,,
1863,"us","McCord, William; Sing Sing, NY","military",39940,"1863/09/15","Improvement in projectiles for many-chambered guns","PTO 244",,"Improvement in projectiles for many-chambered guns",,0,,,,
1863,"us","McMurty, John; Lexington, KY","military",39942,"1862/10/16","Improvement in rifled projectiles","PTO 244",,"Improvement in rifled projectiles",,0,,,,
