Entity,Scope,Affiliate  of,Country,City,Address,Cable Address,Phone,Start Year,End Year,Sources [Reformatting Pending],"Notes 1:  Beginning, Purpose, Other Characteristics","Notes 2:  Patrons, Founders, Officers, Membership; Continuing and Other Notes",Notes 3:  Overflow Notes and Asides  ,Special to Peter
Club of Aviators of Rome : Club Aviatori Roma (CAR),Local,,Italy,Rome,11 Piazza Venezia,,,1907,1909,1 Annuario dell' Aeronautica Primo 352-355 (Sept. 1910); 1911 Aero-Manuel 268 (1 Oct. 1910); http://www.aeci.it/storia,"The Club Aviatori Roma or Club of Aviators of Rome (Italy) was founded in December 1907.  Its purposes included promoting aviation in all its forms and applications, organizing competitions in accordance with regulations of the FAI and the SAI, holding expositions, and possibily providing aviation enthusiasts with a garage for their cars and a meeting place with a library.  It was to have organized an air show in Rome in 1911.  ","The founders included Scipione Borghese, Filippo Doria, Ludovico Spada Potenziani, Giovanni Torlonia, Conte Enrico di San Martino, Sidney Sonnino, Emilio Maraini, and Gaetano Rossi.  In 1910 there were some 25 members. ",It is not known whether the aviators were balloonists or were interested in heavier-than-air craft.  A section of the bylaws provides that the temporary members who were part of the club during the experiences of Wilbur Wright in April 1909 may join as ordinary members.,
Club of French Aviators : Club Francais des Aviateurs,,,France,Bagnolet,"23 Place de la Republique; secretariat at 104 Rue de Noisy, Bagnolet (both 1910)",,,1910 or earlier,,"""Flight"" Manual 14 (Sept. 1910); 1910 Annuario dell' Aeronautica Primo 372 (Sept. 1910)",,"Officers in 1910 included Mathieu, president; Brard and Fauron, vice presidents; and Fleurent, secretary.",,
Cologne Aero Club :       Kolner Aero Klub; then Cologne Club for Aerial Navigation : Kolner Klub fur Luftschiffahrt,Local,"DLV, 1907",Germany,Cologne (Coln),"Office and club house at 1-3 Kallenburg, Cologne (at least 1910-1911).  Balloon place at Juggendspielplatz vor dem Lindentor and flying place at Truppenubungsplatz zu Meerheim bei Coln (1911).","Luftschiff, Coln",4892 office; balloon place 10134,1906,,11 Illustrierte Aeronautische Mitteilungen 99 (1907); 1:5 Aeronautics 43 (1907) ; 1:6 Aeronautics 38 (1907); 1909 Motor Cyclopaedia YB 110 Misc; 1911 Aero-Manuel 317 (1 Oct. 1910); Braunbeck's Sport-Lexicon: Luftschiffahrt 133-134 (1911),"Founded on 6 Nov. 1906 as the Kolner Aero Klub, a balloon club, shortly afterwards it was decided to rename the club as the Kolner Klub for Luftschiffart or Cologne Club for Aerial Navigation.  It joined the DLV (German Air Navigation Association :  Deutscher Luftschiffer-Verband), which see, in 1907.
  ","By March 1907, the club had 70 members, including several women.  Officers were:  Cornelius Menzen, chairman; Gustav Lange, vice chairman; Dr. Jur. Nourney, secretary.; Judge Dr. Korenberg, deputy secretary; Leopold Leven, treasurer; Gabs Guedernabbm deputy treasurer; Lt. Zimmerman, chair, ride committee.  Ca. 1910-1911, the chairman was Professor Dr. Eckert.  In 1911, there were 700 members, including 63 balloon guides.  The Klub owned 10 free balloons, an airship, and two monoplanes.  The balloon place was the adult playground Lendentor, Coln am Rhein, where there were 36 fill stations; the aeroplanes used the troops' training area at Meerheim near Coln.   ",1:6 Aeronatics appears to been mistakenly identified this club as the Kolner Verien instead of the Kolner Klub.   ,
Colonial Aero Club,Local,,USA,"Chicago, Illinois",,,,1910,,"1910 Chicago Daily Tribune, 18 & 26 June; 3, 4 and 7 July","The Colonial Aero Club of Chicago organized and elected officers on 17 June 1910.  It planned to hold an aviation meet, to be known at the Glen H. Curtiss Aviation Meet, in early July 1910 at which it said it would offer cash prizes for aviation and automobile contests.  As of 17 June, 32 aviators had submitted their intents to compete.  The meet began on 2 July 1910 at the Hawthorne track in Chicago.","Initial officers included Joseph R. Beymer, president; A. L. Brown and George C. Taylor, vice presidents; and Harry Hagenback, secretary-treasurer.",,
Colorado Aero Club,Sttate,"ACA, from at least 1916, July",USA,"Denver, Colorado",No fixed address (1916-1920),,,1916 or earlier,1920 or later,"2 Aerial Age Weekly 374 (1916);  5 Flying 250 (1916); 6 Flying 498 (1917); 8 Flying 549 (1919); 9 Flying 50 (1920); ACA annuals (1917, 1919); Goodyear 11 (1919);","The Colorado Aero Club appears founded no later than 3 Jan. 1916, which makes its founding likely to have occurred in 1915.",,
Colwyn Bay Model Aero Club,Local,,"England, GB, UK","Farndon, Colwyn Bay",,,,1912 or earlier,,1913 Aviation P-B 162 (Jan. 1913);,,,
Commercial Aero Club,Local,,"England, GB, UK",Hornsey,"66 Park Avenue S., Hornsey, N.",,,1912 or earlier,,1913 Aviation P-B 162 (Jan. 1913);,,,
Commission for Aeronautic Sports : Commission Sportive Aeronautique,National,,France,Paris,"35 Rue Francois 1er, Paris",,666-21 (1910),1910,,1911 Aero-Manuel 270 and 489 (1 Oct. 1910),The Commission Sportive Aeronautique or Commission for Aeronautic Sports was formed 18 June 1910 through an accord ot the Aero Club of France and the Automobile Club of France to succeed the Aerial Mixed Commission (which see).  Its mission was to exercise the sporting power in France of aeronautics with motors and of aviation without motors (dirigeables).    ,"Comprised of 16 members, half chosen by each club.  Officers, 1911, were:  Leon Barthou, president, and Deutsch de la Meurthe, treasurer, who were representatives of the aero club; and Loreau, vice president; Surcouf, general secretary; and de la Valette, recording secretary, who were representatives of the auotomobile club.     ",
Conisborough and District Aeroplane Society,Local,,"England, GB, UK",Consiborough,"18 Church Street, England",,,1912 or earlier,,1913 Aviation P-B 162 (Jan. 1913);,,,
Continental Aero Club,Local,,USA,"Richmond, Virginia",,,,1911,,"1911 Aircraft, 1 Sept.; 9 Aeronautics 105 (1911);","The Continental Aero Club of Richmond, Virginia, was incorporated prior to 1 Sept. 1911 with capital of $1,000.","Incorporators, 1911, were W. F. Higgins, W. J. Newson, H. R. Tevis, and S. E. Norman.",It has not been ascertained that this was an aero club open to membership by other than its incorporators.
Cornell University Aero Club,University,,USA,"Ithaca, New York",,,,1909,1970 ?,"1909 Baltimore Sun, 8 Nov.; 1909 WP, 8 Nov.; 1910 NYT, 27 Mar., 1 May, and 23 June; 6 Aeronautics 33 (1910); WorldCat.org and WorldCat-OCLC","The Cornell University Aero Club was formed in early November 1909 for the special study of navigation.  At that time, several aeroplanes were being constructed by club members.  The club was a founding member of the American Intercollegiate Association of Aero Clubs, 30 Apr. 1910.  Miscellany from the Cornell University Aero Club at the Cornell University Library comprise the years 1911-1970.","Initial officers included R. E. Treman, president; G. F. Hewitt, Jr., vice president; M. Bronk, secretary; and J. C. Von Glahn, treasurer.  Over 100 members were listed at the formation in 1909 while the number was 54 at the end of the year.  However, the New York Times reported only 13 members in June 1910.",
Coventry Aero Building Society,Local,,"England, GB, UK",Conentry,"22 Kingston Road, Earlsdon, Coventy",,,1912 or earlier,,1913 Aviation P-B 162 (Jan. 1913);,  ,   ,
Coventry Aeronautical Society,Local,,"England, GB, UK",Coventry,"c/o Secretary, 18 Hartford Street, Coventry (1912)",,,1910 or earlier,,"1 Flight 590 (1909); 1910 St. Louis Post Dispatch, 3 Apr. ; ""Flight"" Manual 13 (1910); 1911 Hazell's 488; 1913 Aviation P-B 162 (Jan. 1913);"," At a meeting on 14 Sept. 1909, it was decided to form the Conventry Aeronautical Society.  The objectives of the society were to be more those of a technical institution than a sporting club.  A provisional committee was formed to obtain the particulars of other such societies and to draw up a constitution for the Society.   ",The Coventry Aeronautical Societu was formed on the initiative of E. Walford.  ,
Coventry Model Engineers' Society,Local,,"England, GB, UK",Coventry ,"c/o Secretary, 21 Friars Road, Coventry",,,1912 or earlier,,1913 Aviation P-B 162 (Jan. 1913);, ,,
Croydon and District Aeroplane Society,Local,,"England, GB, UK",Croydon,"186A High Street, Croydon",,,1912 or earlier,,1913 Aviation P-B 162 (Jan. 1913);,,,
Danish Aeronautical Society : Danske Aeronautiske Selskab,National,"FAI, 30 Sept. 1909",Denmark,Copenhagen,"51 Bredgrade, Copenhagen (at least 1909-1910); 34 Amaliegade, Copenhagen (1910-to at least 1919)","AeroClub, Copenhagen (at least 1911-1919)",1,1909 or earlier,1920 or later,"1 Flight 67 (1909); 1909 FAI Conference Statutaire Proces-Verbaux 12 (1910); FAI Conference Statuaire Proces-Verbaux (1910, 1912); FAI Conference Extraordinaire, 19-21 May 1919; Sommaire, FAI Reunion, 23-24 Oct 1919, in 1:1 Bulletin Officiel de la FAI (Jan. 1920); 1:1 Bulletin Officiel de la FAI (Jan. 1920); ACA annuals (1910-1917, 1919); 1913 Aviation P-B 158 (Jan. 1913);1918 Aviation P-B 273; 1919-1920 Aviation P-B 273 (1919); Dir1920;  ",Danske Aeronautiske Selskab or Danish Aeronautical Society was formed in Denmark ca. January 1909 to study the general science of aeronautics and aviation.  It was admitted to the Federation Aeronautique Internationale (FAI) at the FAI meeting 30 Sept. 1909.,"M. Meersgaard, Minister of Commerce was the first president of the Danish Aeronautical Society. ",Have Peter's PDF source and URL to add.  Includes founding date.
Derby Aero Club,Local,,"England,GB, UK","Derby, England","28 St. james Street, Derby",,,1910 or earlier,,1911 Aero-Manuel 279 (1 Oct. 1910),,,
Detroit Aviation Society,Local,,USA,"Detroit, Michigan",,,,1916,1938,www.detroit.lib.mi.us; WorldCat.org and WorldCat-OCLC,"Records of the Detroit Aviation Society at the Detroit, Michigan, Public Library, comprise the years 1916-1938.  Correspondence and other papers of the Aero Club of Michigan are part of this collection.  However, library catalog records that at one time said the Aero Club of Michigan was the predecessor of the Detroit Aviation Society no longer indicate such.  Thus, we do not know what relationship existed between these two clubs.  ",,
Dover Aero Club,Local,"RACUK, from at least 1912","England, GB, UK","Dover, England","11 Marine Parade, Dover (1912)",,,1912 or earlier,,1913 Aviation P-B 160 (Jan. 1913),,,
Dover and District Model Aero Club,Local,,"England, GB, UK",Dover ,"21 Godwyne Road, Dover",,,1912 or earlier,,1913 Aviation P-B 162 (Jan. 1913);,,,
Dragon Kite Club of Belguim : Drago Club de Belgique,,,Belgium,Brussels,,,,1910 or earlier,,1910 Annuario dell' Aeronautica Primo 368 (Sept. 1910), ,,,
Dragon Kite Club of the Seine : Drago Club de la Seine,Local,,France,Paris,"Social office at 1 Place du Palais-Bourbon, Paris (1910)",,,1910 or earlier,,1910 Annuario dell' Aeronautica Primo 372 (Sept. 1910); 1911 Aero-Manuel 282 and 490 (1 Oct. 1910),The Dragon Kite Club of the Seine or Drago Club de la Seine was established as a society for sport and scientific adaptation in aviation.,"In 1910 there were some 30 members.  Officers included Vincent, president; Maillot and Frantzen, vice presidents; Guny, secretary; and Larousse, treasurer.",,
Dresden Association for Aerial Navigation : Dresdeuer Verein fur Luftschiffahrt,Local,,Germany,"Dresden, Saxony",,,,1900,,13 Almanacco Italiana 525 (1908),,,,
Dundee Aero Club,Local,,"Scotland, GB, UK","Dundee, Scotland","3 Baltic Street, Dundee (1910); 10 Constitution Road, Dundee (1912)",,,1910 or earlier,,"""Flight"" Manual 13 (1910); 1913 Aviation P-B 162 (Jan. 1913);",,,,
Dusseldorf Flying Sports Club : Dusseldorfer Flugsport-Klub,Local,N/A,Germany,Dusseldorf,"75 Geibelstrasse, Dusseldorf (1910); Hotel Romischer Kaiser, Dusseldorf (1911)",,,1910,,1911 Aero-Manuel 285 (1 Oct. 1910);  Braunbeck's Sport-Lexicon: Luftschiffahrt 152 (1911),The Dusseldorfer Flugsport-Klub or Dusseldorf Flying Sports Club was founded in Dusseldorf on 18 Feb. 1910.  It appears to have met at the Hotel Romischer Kaiser.,,,
Ealig Model Aero Club,Local,,"England, GB, UK",Ealing,"1 Queens' Garden, Ealing, W",,,1912 or earlier,,1913 Aviation P-B 162 (Jan. 1913);,,,,
East German Association for Aerial Navigation : Ostdeutscher Verein fur Luftschiffahrt,Regional,"DLV, 1904","West Prussia, Germany","Handel und Gewerbe, Graudenz","Ostbank fur Handel und Gewerbe, Pohlmannstrasse 9, Graudenz (1907); 401 Oberbergstrasse, Graudenz (at least 1910-1911); Balloon place at Stadtischen Gasanstalt, Graudenz (1911).",,,1904,,"P-B of Aeronautics 441 (English ed., Jan. 1907); 1:5 Aeronautics 43 (1907); 1:6 Aeronautics 38 (1907); ACA annual (1907); 1911 Aero-Manuel 345 (1 Oct. 1910), Braunbeck's Sport-Lexicon: Luftschiffahrt 140 (1911)","The Ostdeutscher (Ostdeutcher) Verein fur Luftschiffahrt or East German Association for Aerial Navigation was founded at at Graudenz, West Prussia, Germany, on 11 June 1904.   It joined the DLV (German Air Navigation Association :  Deutscher Luftschiffer-Verband), which see, in 1904.  Its first balloon ascent was 17 July 1904 and it owned balloon stores.  ","Membership in April 1906 was 150, including 10 aeronauts; the library had 145 volumes.  In 1911, Kuhnast was chairman and there were 200 members, including 16 balloon guides.  The association owned one free balloon and used the Stadtischen Gasanstaldt (Municipal Gasworks), Graudenz, as its balloon place.    ", ,
East Ham and District Aero Club,Local,,"England, GB, UK",East Ham,"54 Savage Gardens, East Ham (1912)",,,1912 or earlier,,1913 Aviation P-B 162 (Jan. 1913);,,,,
